Name,New Name,Type
J/JL/Lxx-B_1,J/JL/Lxx-B_1,VAR_EXTERNAL
J/JL/Lxx-B_2,J/JL/Lxx-B_2,VAR_EXTERNAL
J/JL/Lxx-B_3,J/JL/Lxx-B_3,VAR_EXTERNAL
J/JL/Lxx-B_4,J/JL/Lxx-B_4,VAR_EXTERNAL
J/JL/Lxx-B_5,J/JL/Lxx-B_5,VAR_EXTERNAL
J/JL/Lxx-B_6,J/JL/Lxx-B_6,VAR_EXTERNAL
J/JL/Lxx-B_7,J/JL/Lxx-B_7,VAR_EXTERNAL
J/JL/Lxx-B_8,J/JL/Lxx-B_8,VAR_EXTERNAL
J/JL/Lxx-B_9,J/JL/Lxx-B_9,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_1,J/JL/Lxx-RST-CTRL_1,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_2,J/JL/Lxx-RST-CTRL_2,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_3,J/JL/Lxx-RST-CTRL_3,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_4,J/JL/Lxx-RST-CTRL_4,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_5,J/JL/Lxx-RST-CTRL_5,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_6,J/JL/Lxx-RST-CTRL_6,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_7,J/JL/Lxx-RST-CTRL_7,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_8,J/JL/Lxx-RST-CTRL_8,VAR_EXTERNAL
J/JL/Lxx-RST-CTRL_9,J/JL/Lxx-RST-CTRL_9,VAR_EXTERNAL
J/JL/Lxx-S-B_1,J/JL/Lxx-S-B_1,VAR_EXTERNAL
J/JL/Lxx-S-B_2,J/JL/Lxx-S-B_2,VAR_EXTERNAL
J/JL/Lxx-S-B_3,J/JL/Lxx-S-B_3,VAR_EXTERNAL
J/JL/Lxx-S-B_4,J/JL/Lxx-S-B_4,VAR_EXTERNAL
J/JL/Lxx-S-B_5,J/JL/Lxx-S-B_5,VAR_EXTERNAL
J/JL/Lxx-S-B_6,J/JL/Lxx-S-B_6,VAR_EXTERNAL
J/JL/Lxx-S-B_7,J/JL/Lxx-S-B_7,VAR_EXTERNAL
J/JL/Lxx-S-B_8,J/JL/Lxx-S-B_8,VAR_EXTERNAL
J/JL/Lxx-S-B_9,J/JL/Lxx-S-B_9,VAR_EXTERNAL
J/JL/Lxx-xx-2-RS_1,J/JL/Lxx-xx-2-RS_1,VAR_EXTERNAL
J/JL/Lxx-xx-2-RS_2,J/JL/Lxx-xx-2-RS_2,VAR_EXTERNAL
J/JL/Lxx-xx-2-RS_3,J/JL/Lxx-xx-2-RS_3,VAR_EXTERNAL
J/JL/Lxx-xx-2-RS_4,J/JL/Lxx-xx-2-RS_4,VAR_EXTERNAL
J/JL/Lxx-xx-2-RS_5,J/JL/Lxx-xx-2-RS_5,VAR_EXTERNAL
J/JL/Lxx-xx-2-RS_6,J/JL/Lxx-xx-2-RS_6,VAR_EXTERNAL
J/JL/Lxx-xx-2-RS_7,J/JL/Lxx-xx-2-RS_7,VAR_EXTERNAL
J/JL/Lxx-xx-2-RS_8,J/JL/Lxx-xx-2-RS_8,VAR_EXTERNAL
J/JL/Lxx-xx-2-RS_9,J/JL/Lxx-xx-2-RS_9,VAR_EXTERNAL
